Team ID,Team Name,Domain
103,Web Matrix,Cybersecurity
104,Void,EdTech (Education Technology)
105,CODEGEN,Agriculture
106,Stocknicians,FinTech
107,Data Drifters,Environmental Tech
108,Jssate hackers,Healthcare - Fraud Detection
109,The Nanosecond Ninjas,FinTech
110,JSSATE Coders,Healthcare
111,BrainVita,Education/Career Tech
112,Hacktivate,Cybersecurity
113,Elevate,Healthcare - Mental Health
114,Smart Farm,Cybersecurity
115,Hacksmith,Healthcare - Medical Devices
117,The Pair-o-dox,Environmental Tech
118,COOKIE_BYTE,FinTech
119,TESSERACT,Agriculture
120,The Code Warriors,Healthcare
122,Bond Beyond,Collaboration Tools/Metaverse
123,IDLY LAKE,Open Innovation
124,CompileCraft,Software Development Tools
125,Defenders,Healthcare - Medication Management
126,Zapak,Healthcare
127,4 Horsemen,EdTech/Child Development
128,Team Alpha,Logistics/Event Management
129,SheCodHers,Public Safety/Security
130,AgroGenix,Agriculture
131,CodeStrom,Transportation/Shared Mobility
132,Neuronauts,Healthcare - Remote Monitoring
133,HAT SQUAD,Agriculture
134,Code Trinity,Agriculture - IoT
135,Tempest,Agriculture/Home Gardening Tech
136,Newbies,Healthcare - Hospital Management
137,NullPoint,Data Analytics
138,Code warriors,Education Management
139,Pixel pirates,Agriculture
140,CodeCrafters,EdTech
141,MenoMinds,Healthcare - Women's Health
142,codeMIND,Healthcare - Blockchain
143,Bit wizards,Healthcare - Web Design
144,DevDare,FinTech
145,Vector Coders,Computer Vision
146,Tech Titans,EdTech - Analytics
147,Papz,Healthcare - Data Security
148,Visionaries United,Agriculture
149,Nah, I'd Win,FinTech - Blockchain
150,MBDY SYNDICATE,Drones/AI
151,Deadlock,Crisis Management - Blockchain
152,Algorithm Avengers,Healthcare
153,CosmicCoders,EdTech
154,Agronym Solutions,Agriculture
155,InnovateX,Career Tech/EdTech
156,Terminator's,EdTech - Rural Solutions
157,Team Outsourcing,EdTech
158,Team Reaver,Healthcare - Blood Management
