"Month","Profit","Profit_After_Tax","Profit_Margin","Good_Month","Bad_Month","Best_Month","Worst_Month"
1,"$ 20k","$ 14k","28%","No","Yes","No","No"
2,"$ 23k","$ 16.1k","29%","No","Yes","No","No"
3,"$ 25k","$ 17.5k","29%","No","Yes","No","No"
4,"$ 18k","$ 12.6k","22%","No","Yes","No","Yes"
5,"$ 20k","$ 14k","23%","No","Yes","No","No"
6,"$ 25k","$ 17.5k","25%","No","Yes","No","No"
7,"$ 27k","$ 18.9k","25%","No","Yes","No","No"
8,"$ 30k","$ 21k","26%","Yes","No","No","No"
9,"$ 33k","$ 23.1k","27%","Yes","No","No","No"
10,"$ 35k","$ 24.5k","27%","Yes","No","No","No"
11,"$ 37k","$ 25.9k","27%","Yes","No","No","No"
12,"$ 40k","$ 28k","28%","Yes","No","Yes","No"
